keyword,importance,std,impact_coef,impact_direction
data,0.07008630442529233,0.019775101296895675,1.131870332990849,positive
engineer,0.04368106593052644,0.019184435282902396,1.0447747545371378,positive
senior,0.04041301923304407,0.008232241083922206,1.5191192018187898,positive
analyst,0.035637300096286795,0.016311685953729057,-0.5409565160037723,negative
scientist,0.034765630655320824,0.017202302369238677,1.108205495797131,positive
developer,0.029086396858112915,0.010341169581189686,1.4186542931409933,positive
research,0.02385340010691612,0.007185283202619436,-0.5193575261748812,negative
specialist,0.023654300406010385,0.009891607616092028,-0.9233509050938459,negative
sr,0.01889116470638934,0.005099700837152096,1.2518912204973056,positive
technician,0.017887891760736577,0.006603329956005173,-2.7852429922404847,negative
software,0.0147107487556513,0.007787077963297607,0.5752905066729669,positive
director,0.013685456611360896,0.005017114743145926,1.5296609277492812,positive
associate,0.013298090832078781,0.004373757176012125,-0.9965006077493658,negative
ii,0.012803845732539261,0.0038473217144038676,-0.6231990670389749,negative
assistant,0.012448266398071575,0.004448897605799625,-1.0092946997042365,negative
manager,0.011739537321973173,0.0046647283159780405,0.7293170129330417,positive
systems,0.010911930081631757,0.0035256241307670636,0.6095320019998114,positive
intelligence,0.010290043881726108,0.003715689063238848,1.5310697530862953,positive
services,0.010183237796209004,0.003554152032231208,-0.9593130289342022,negative
architect,0.009862576739272029,0.00461928412422068,1.7088307227326223,positive
health,0.009800146092050484,0.003493576011934374,0.20467870009531855,positive
business,0.009730693901127845,0.0034447301328161847,0.4047444816448562,positive
engineering,0.00964443479247837,0.003068240702818345,0.8551154602964527,positive
coordinator,0.009626667654302402,0.004948072129086316,-1.1885122103201398,negative
operations,0.008741834106196222,0.0034258117612902773,0.46985998267963247,positive
management,0.008442021991722648,0.002919024991553821,-0.13691213800095034,negative
analytics,0.008385917518071787,0.004535202724284909,1.0975858626557287,positive
support,0.008077886366437316,0.0030004341930447067,-0.5894220137540017,negative
iii,0.008048732215767488,0.0027376607223180906,0.2251103445043717,positive
environmental,0.008008200984932682,0.0029567232940219466,-0.8060736992447212,negative
statistician,0.007982357659145858,0.0031533292707278874,1.2968577534739003,positive
quantitative,0.007969793952690221,0.0027141990315184997,2.1699495464436396,positive
lead,0.007898088444679933,0.003698290794361026,1.4131455103265353,positive
machine,0.007877213149911586,0.006654174278393374,1.4907376954142026,positive
program,0.007716026777604659,0.0029607069472579045,-0.035478245792187064,negative
project,0.007714713809431663,0.002906073682044283,-0.30079185161688116,negative
technical,0.007602669507771849,0.0027790128830615475,0.1400162594181548,positive
information,0.007077602730550419,0.0028188837848753265,0.5513425487220297,positive
development,0.00692307087723869,0.002443170884651494,0.12304245794282445,positive
applications,0.006753022812949984,0.002837887498140987,-0.26769023269240794,negative
jr,0.006644751951392672,0.002856233773935037,-1.126933130285161,negative
chief,0.006635086810738677,0.0026236191590966683,1.4465285973263327,positive
clinical,0.006498089307463544,0.002721016378933414,0.4242977310215445,positive
programmer,0.006354716243770215,0.0027707712248252773,0.2652458525945849,positive
science,0.006183885656749199,0.0028624433344541815,0.32250607863464403,positive
junior,0.00611375168552666,0.00237865103824912,-0.7049035640915836,negative
principal,0.006105458909030025,0.003295567921446044,1.6183923849957291,positive
quality,0.0059105499506578165,0.0024758200128875804,-0.5777379415408902,negative
laboratory,0.005723686056698742,0.002731116021146325,-0.7802463890464164,negative
reporting,0.005584743823188824,0.0028552554382684616,0.34117085023415034,positive
process,0.005458003339969309,0.0024474963294479025,0.4292528204186506,positive
oracle,0.005455932642191573,0.002294767253382224,1.0507851202867409,positive
network,0.005445146023940853,0.0025225502170905844,-0.2760879962362573,negative
technology,0.0054162440047963115,0.0023975317945096595,-0.05206393376591803,negative
financial,0.005413357490953638,0.0024567080755883036,-0.28777959339971804,negative
sales,0.005168163125563572,0.0020212010018331324,0.1694828822470879,positive
sql,0.004992788997099708,0.002249091704795337,0.6218175410399711,positive
computer,0.00499232263421538,0.002456667926558451,-0.01272122577340378,negative
staff,0.004990840452217967,0.00303701201082043,-0.9752615112755718,negative
field,0.00494147622009985,0.0025650151549481675,-1.6616618854527603,negative
learning,0.004880589142442589,0.005162165276707578,0.38872549510730636,positive
system,0.004759588448184823,0.0022654779769473833,0.26420471753930236,positive
security,0.004671938694001431,0.002134852198728866,0.30582468430217324,positive
level,0.00462727588620915,0.002426091248971616,-1.0369280916454657,negative
interdisciplinary,0.004569921821389458,0.002165452835108634,0.9718071139948581,positive
product,0.004513177389512527,0.002229198944756924,0.5461052302705774,positive
control,0.0044931138703490974,0.002187326620290844,1.1221235950069963,positive
qa,0.004412554228204842,0.002006036622981687,0.5743583976599629,positive
gis,0.0044052380486743325,0.002224687649694982,-0.4383755129328411,negative
statistical,0.004363006861617268,0.0020358587871898565,1.026785666285496,positive
policy,0.004161607787587925,0.0020865962026745044,0.8234208586766345,positive
administrator,0.004028523885542946,0.002478461664848469,-0.6198183332456557,negative
marketing,0.004016323660122711,0.001866925126988105,-0.10166806582982031,negative
student,0.004005167879048736,0.001865352857278136,-1.5909122396950346,negative
center,0.004002607449668634,0.0019297799741679665,-0.054133733027445965,negative
web,0.003915055896992274,0.002229673107754626,-0.25362382764118513,negative
service,0.0038969892596899137,0.0020617195849023254,-0.19095837995502704,negative
compliance,0.0038415033359151082,0.0018538093301831864,-0.3444568500864634,negative
consultant,0.003759161274560315,0.0020414729747739,0.36079135142122165,positive
manufacturing,0.0037586405430065045,0.0021340246707402376,-0.7934411758724752,negative
education,0.0037423670211451025,0.001854717492294428,-0.7130936182516546,negative
time,0.003741714032468887,0.0018821828116247763,-0.8423903383842255,negative
